#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:11+0000 #
#####################################################################
#
# random = 1.0, devices = 1000, computationalCost = 3.0, load = 1, network = lobster, behavior = advanced
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 236.0 950.0 0.24842 97.13426654054669 99.60723823929311 79.2594739256177 79.49426654054669 1.750250689426985 5.525776484988586 1.0243209093047418
20.001 287.0 950.0 0.30211 97.13426654054669 99.60723823929311 79.2594739256177 79.49426654054669 2.4188132926508006 9.137440351457943 1.0276542424233475
30.000 294.0 950.0 0.30947 97.13426654054669 99.60723823929311 79.2594739256177 79.49426654054669 2.486352245817266 9.137440351457943 1.0276542424233475
40.003 294.0 950.0 0.30947 97.13426654054669 99.60723823929311 79.2594739256177 79.49426654054669 2.498953049015376 10.022915380080514 1.0276542424233475
50.001 294.0 950.0 0.30947 97.2542665405467 99.60723823929311 85.2594739256177 79.49426654054669 2.498953049015376 10.022915380080514 1.0276542424233475
60.000 296.0 950.0 0.31158 97.49426654054669 99.60723823929311 88.9096862423166 79.49426654054669 2.4921290866154853 10.022915380080514 1.0276542424233475
70.000 298.0 950.0 0.31368 97.49426654054669 99.60723823929311 88.9096862423166 79.49426654054669 2.49910851111676 10.022915380080514 1.0276542424233475
80.001 300.0 950.0 0.31579 97.49426654054669 99.60723823929311 88.9096862423166 79.49426654054669 2.528901684584627 10.022915380080514 1.0276542424233475
90.001 300.0 950.0 0.31579 97.49426654054669 99.60723823929311 88.9096862423166 79.49426654054669 2.528901684584627 10.022915380080514 1.0276542424233475
100.00 300.0 950.0 0.31579 97.49426654054669 99.60723823929311 88.9096862423166 79.49426654054669 2.528901684584627 10.022915380080514 1.0276542424233475
110.00 300.0 950.0 0.31579 97.49426654054669 99.60723823929311 88.9096862423166 79.49426654054669 2.528901684584627 10.022915380080514 1.0276542424233475
