#####################################################################
# Alchemist log file - simulation started at: 2023-11-22T11:34+0000 #
#####################################################################
#
# random = 5.0, devices = 1000, computationalCost = 1.0, load = 0, network = barabasi, behavior = advanced
#
# The columns have the following meaning: 
# time canOffload[sum] wantToOffload[sum] qos effectiveLoad[mean] effectiveLoad[max] effectiveLoad[min] load[mean] latency[mean] latency[max] latency[min] 
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0000 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN
10.000 173.0 950.0 0.18211 78.98 98.0 75.0 75.0 3.344789036991947 16.293756504108636 0.9857896233169572
20.001 140.0 950.0 0.14737 78.06 92.0 75.0 75.0 3.5525571466647228 26.616537627811645 0.9857896233169572
30.000 141.0 950.0 0.14842 78.06 92.0 75.0 75.0 4.379333891968798 34.35200222626126 0.9857896233169572
40.001 137.0 950.0 0.14421 78.1 92.0 75.0 75.0 4.111393714371855 38.82054120446597 0.9857896233169572
50.000 136.0 950.0 0.14316 78.1 92.0 75.0 75.0 4.348554122620827 50.49842441419342 0.9857896233169572
60.000 135.0 950.0 0.14211 78.1 92.0 75.0 75.0 4.368742490133855 53.30976312972762 0.9857896233169572
70.001 134.0 950.0 0.14105 78.1 92.0 75.0 75.0 4.109178964546018 62.13605281981678 0.9857896233169572
80.001 136.0 950.0 0.14316 78.36 92.0 75.0 75.0 4.1177806638781895 72.74021099744094 0.9857896233169572
90.000 136.0 950.0 0.14316 78.28 92.0 75.0 75.0 3.795594903798265 78.46347614723932 0.9857896233169572
100.00 136.0 950.0 0.14316 78.28 92.0 75.0 75.0 3.755964761343968 72.51969639476964 0.9857896233169572
110.00 136.0 950.0 0.14316 78.28 92.0 75.0 75.0 3.9473797468723855 83.05290377139256 0.9857896233169572
120.00 137.0 950.0 0.14421 78.32 92.0 75.0 75.0 3.5448859056255833 90.26479654109394 0.9857896233169572
130.00 136.0 950.0 0.14316 78.32 92.0 75.0 75.0 2.9354463003377664 86.5191851617872 0.9857896233169572
140.00 135.0 950.0 0.14211 78.32 92.0 75.0 75.0 2.3163074939566592 7.140695055752815 0.9857896233169572
